PVT AM,44551,C1524781,10/10/2016 08:08:31,224,0,Test
PVT PM,49515,C1621027,10/10/2016 18:06:26,224,0,Test
PVT PM,50494,C1622201,10/10/2016 18:21:47,224,0,Test
PVT PM,9590,1316438,03/05/2016 16:14:38,225,0,Test
PVT AM,27209,1627781,06/10/2016 08:06:14,225,0,Test
PVT PM,2475,C1214313,26/04/2016 16:10:50,225,0,Test
PVT PM,12940,C1431852,06/05/2016 17:18:34,225,0,Test
PVT AM,45014,C1519725,10/10/2016 08:17:08,225,0,Test
PVT PM,49458,C1621027,10/10/2016 18:05:31,225,0,Test
PVT PM,9872,1316438,03/05/2016 16:23:31,226,0,Test
PVT AM,31765,1517805,07/10/2016 08:06:12,226,0,Test
PVT PM,3434,1530539,26/04/2016 17:07:50,226,0,Test
PVT PM,3576,1530539,26/04/2016 17:13:51,226,0,Test
PVT AM,52242,1629216,11/10/2016 09:02:53,226,0,Test
PVT PM,55543,1629216,11/10/2016 18:23:11,226,0,Test
PVT PM,47605,C1524781,10/10/2016 17:06:03,226,0,Test
PVT AM,56250,C1642268,13/10/2016 09:23:59,226,0,Test
PVT PM,56334,C1642268,13/10/2016 18:02:45,226,0,Test
PVT PM,56348,C1642268,13/10/2016 18:03:14,226,0,Test
PVT PM,56612,C1642268,13/10/2016 18:14:24,226,1,Test
PVT PM,9450,1316438,03/05/2016 16:09:56,227,0,Test
PVT AM,32619,1517805,07/10/2016 08:19:52,227,0,Test
PVT AM,44693,C1519725,10/10/2016 08:11:17,227,0,Test
PVT AM,46499,C1621027,10/10/2016 09:09:18,227,0,Test
PVT AM,32947,C1640091,07/10/2016 08:25:00,227,0,Test
PVT PM,56505,C1642268,13/10/2016 18:09:54,227,0,Test
PVT AM,15505,C1320593,13/05/2016 08:27:12,228,0,Test
PVT AM,45909,C1621027,10/10/2016 08:59:50,228,0,Test
PVT PM,56537,C1626757,13/10/2016 18:11:08,228,0,Test
PVT PM,3400,1530539,26/04/2016 17:06:24,229,0,Test
PVT PM,49531,C1622201,10/10/2016 18:06:39,229,0,Test
PVT PM,58446,C1626643,14/10/2016 17:03:51,229,0,Test
PVT AM,44607,C1646522,10/10/2016 08:09:35,229,0,Test
PVT AM,28975,C1661087,06/10/2016 08:59:46,229,0,Test
PVT PM,35496,1460169,07/10/2016 18:10:55,230,0,Test
PVT AM,52479,1527644,11/10/2016 09:09:34,230,0,Test
PVT PM,3741,1530539,26/04/2016 17:20:32,230,0,Test
PVT PM,3817,1530539,26/04/2016 17:23:55,230,0,Test
PVT AM,12547,C1431852,06/05/2016 09:11:26,230,0,Test
PVT PM,56594,C1642268,13/10/2016 18:13:31,230,0,Test
PVT PM,56633,C1642268,13/10/2016 18:15:18,230,0,Test
PVT PM,31137,C1661087,06/10/2016 17:53:48,230,0,Test
PVT AM,5448,C1214313,28/04/2016 08:13:11,231,0,Test
PVT PM,49279,C1622201,10/10/2016 18:02:41,231,0,Test
PVT PM,59070,C1626643,14/10/2016 17:15:02,231,0,Test
PVT PM,56474,C1642268,13/10/2016 18:08:35,231,0,Test
PVT AM,28921,C1661087,06/10/2016 08:57:33,231,0,Test
PVT AM,27854,1512159,06/10/2016 08:16:36,232,0,Test
PVT PM,30350,1535741,06/10/2016 17:14:05,232,0,Test
PVT PM,2016,C1214313,26/04/2016 16:02:56,232,0,Test
PVT PM,2585,C1214313,26/04/2016 16:12:50,232,0,Test
PVT AM,44583,C1524781,10/10/2016 08:09:04,232,0,Test
PVT PM,50356,C1621027,10/10/2016 18:19:38,232,0,Test
PVT AM,46963,C1622201,10/10/2016 09:16:20,232,0,Test
PVT PM,49354,C1622201,10/10/2016 18:03:54,232,0,Test
PVT PM,56457,C1642268,13/10/2016 18:07:54,232,0,Test
PVT PM,56519,C1642268,13/10/2016 18:10:24,232,0,Test
PVT AM,6727,1406813,29/04/2016 08:20:47,233,0,Test
PVT AM,4236,1530539,27/04/2016 08:09:21,233,0,Test
PVT AM,4820,1530539,27/04/2016 08:25:02,233,0,Test
PVT PM,29862,1606678,06/10/2016 17:06:38,233,0,Test
PVT PM,29870,1606678,06/10/2016 17:06:46,233,0,Test
PVT AM,27292,1627781,06/10/2016 08:07:32,233,0,Test
PVT AM,27369,1627781,06/10/2016 08:08:51,233,0,Test
PVT PM,30380,1627781,06/10/2016 17:14:32,233,0,Test
PVT AM,52434,1629216,11/10/2016 09:08:14,233,0,Test
PVT AM,33498,C1234417,07/10/2016 09:16:43,233,0,Test
PVT AM,6727,C1406813,29/04/2016 08:20:47,233,0,Test
PVT AM,5185,C1442429,28/04/2016 08:02:32,233,0,Test
PVT AM,32035,C1504038,07/10/2016 08:10:39,233,0,Test
PVT AM,45269,C1524781,10/10/2016 08:21:41,233,0,Test
PVT AM,45865,C1543535,10/10/2016 08:59:10,233,0,Test
PVT AM,46195,C1609356,10/10/2016 09:04:26,233,0,Test
PVT AM,56303,C1642268,13/10/2016 09:26:31,233,1,Test
PVT PM,56427,C1642268,13/10/2016 18:06:41,233,0,Test
PVT AM,52850,1527644,11/10/2016 09:21:17,234,0,Test
PVT PM,3416,1530539,26/04/2016 17:07:12,234,0,Test
PVT PM,3593,1530539,26/04/2016 17:14:35,234,0,Test
PVT PM,3596,1530539,26/04/2016 17:14:45,234,2,Test
PVT AM,4559,1530539,27/04/2016 08:17:32,234,0,Test
PVT AM,27286,1643644,06/10/2016 08:07:26,234,0,Test
PVT PM,7393,C1442429,29/04/2016 16:11:21,234,0,Test
PVT AM,32060,C1504038,07/10/2016 08:11:05,234,0,Test
PVT AM,32338,C1504038,07/10/2016 08:15:31,234,0,Test
PVT PM,9313,C1512071,03/05/2016 16:05:50,234,0,Test
PVT AM,50652,C1516633,11/10/2016 08:05:56,234,0,Test
PVT AM,45001,C1519725,10/10/2016 08:16:54,234,0,Test
PVT AM,45816,C1519725,10/10/2016 08:32:56,234,0,Test
PVT AM,28904,C1607048,06/10/2016 08:56:50,234,0,Test
PVT AM,46036,C1608169,10/10/2016 09:01:57,234,0,Test
PVT AM,28578,C1618592,06/10/2016 08:28:08,234,0,Test
PVT AM,46048,C1622201,10/10/2016 09:02:09,234,0,Test
PVT AM,46316,C1622201,10/10/2016 09:06:23,234,0,Test
PVT PM,49410,C1622201,10/10/2016 18:04:47,234,0,Test
PVT PM,49621,C1622201,10/10/2016 18:08:00,234,0,Test
PVT PM,58476,C1626643,14/10/2016 17:04:24,234,0,Test
PVT PM,59153,C1626643,14/10/2016 17:16:32,234,0,Test
PVT PM,53455,C1633118,11/10/2016 17:06:57,234,0,Test
PVT PM,9578,1316438,03/05/2016 16:14:10,235,0,Test
PVT AM,32350,1504906,07/10/2016 08:15:41,235,0,Test
PVT PM,31116,1506576,06/10/2016 17:52:49,235,0,Test
PVT AM,31909,1517805,07/10/2016 08:08:38,235,0,Test
PVT PM,3420,1530539,26/04/2016 17:07:21,235,0,Test
PVT AM,4154,1530539,27/04/2016 08:07:20,235,0,Test
PVT AM,52249,1629216,11/10/2016 09:03:04,235,0,Test
PVT AM,52571,1629216,11/10/2016 09:12:27,235,0,Test
PVT AM,52737,1642612,11/10/2016 09:17:38,235,0,Test
PVT PM,2209,C1214313,26/04/2016 16:06:14,235,0,Test
PVT PM,2567,C1214313,26/04/2016 16:12:32,235,0,Test
PVT AM,5414,C1214313,28/04/2016 08:11:52,235,0,Test
PVT PM,12760,C1431852,06/05/2016 17:09:41,235,0,Test
PVT PM,12963,C1431852,06/05/2016 17:19:35,235,0,Test
PVT PM,13228,C1431852,06/05/2016 17:30:56,235,0,Test
PVT AM,44989,C1519725,10/10/2016 08:16:41,235,0,Test
PVT AM,45677,C1519725,10/10/2016 08:28:58,235,0,Test
PVT PM,49994,C1621027,10/10/2016 18:13:43,235,0,Test
PVT AM,47439,C1622201,10/10/2016 09:24:05,235,0,Test
PVT PM,49908,C1622201,10/10/2016 18:12:25,235,0,Test
PVT AM,58098,C1626643,14/10/2016 08:24:56,235,0,Test
PVT AM,55812,C1642268,13/10/2016 09:05:59,235,0,Test
PVT PM,56565,C1642268,13/10/2016 18:12:17,235,0,Test
PVT AM,28956,C1661087,06/10/2016 08:59:01,235,0,Test
PVT AM,4807,1530539,27/04/2016 08:24:25,236,0,Test
PVT AM,56038,1641638,13/10/2016 09:15:32,236,0,Test
PVT PM,29732,1643644,06/10/2016 17:04:37,236,0,Test
PVT PM,2087,C1214313,26/04/2016 16:04:10,236,0,Test
PVT PM,3252,C1214313,26/04/2016 16:25:11,236,0,Test
PVT AM,5465,C1214313,28/04/2016 08:13:53,236,0,Test
PVT AM,5533,C1214313,28/04/2016 08:16:49,236,0,Test
PVT PM,12840,C1431852,06/05/2016 17:14:12,236,0,Test
PVT AM,10128,C1512071,04/05/2016 08:04:00,236,0,Test
PVT PM,47823,C1519725,10/10/2016 17:09:51,236,0,Test
PVT PM,47838,C1519725,10/10/2016 17:10:08,236,0,Test
PVT AM,44804,C1524781,10/10/2016 08:13:17,236,0,Test
PVT AM,57909,C1528257,14/10/2016 08:21:34,236,0,Test
PVT AM,45972,C1543535,10/10/2016 09:00:53,236,0,Test
