participant_id,5,10,15,20,25
1211910,361.974358974,384.461538462,391.315789474,384.515151515,373.15625
1460169,370.0,365.388888889,368.55,395.8125,351.5
1504906,343.897435897,372.057142857,361.294117647,374.275,348.461538462
1506576,319.152173913,323.804878049,319.634146341,346.35,360.677419355
1512159,398.102564103,390.029411765,403.4375,379.472222222,390.285714286
1514405,309.815789474,310.56097561,314.564102564,300.951219512,316.972972973
1517805,411.142857143,420.52,409.12,371.633333333,424.541666667
1524902,379.25,407.269230769,421.322580645,392.171428571,410.727272727
1529920,363.657142857,398.324324324,386.378378378,412.114285714,408.5
1535741,321.43902439,329.875,329.609756098,338.581395349,320.441176471
1556744,368.648648649,386.108108108,399.125,391.35483871,400.791666667
1606678,341.263157895,371.342857143,377.1,393.787878788,356.647058824
1621347,437.8,449.764705882,437.0,439.6,436.962962963
1627781,362.535714286,382.75,372.466666667,391.333333333,408.565217391
1641638,367.40625,406.090909091,419.580645161,434.75,408.029411765
1643644,323.139534884,352.333333333,389.0,378.205882353,361.771428571
C1228296,330.466666667,369.342105263,387.485714286,360.409090909,357.346153846
C1234417,340.717948718,332.25,308.472222222,288.394736842,312.194444444
C1320593,392.897435897,391.40625,402.055555556,388.558823529,374.666666667
C1431852,313.763157895,328.138888889,313.666666667,332.219512195,332.404761905
C1504038,363.75,368.405405405,360.151515152,344.170731707,341.547619048
C1512051,331.6875,393.027027027,393.125,396.451612903,395.871794872
C1525463,328.707317073,360.756756757,341.512820513,385.527777778,368.333333333
C1528257,345.684210526,341.282051282,354.393939394,359.914285714,343.026315789
C1556488,396.121212121,411.424242424,402.0,425.166666667,419.928571429
C1600521,356.864864865,371.702702703,370.236842105,376.235294118,388.675675676
C1606273,422.28,427.789473684,435.1,432.523809524,431.6
C1607048,422.161290323,413.212121212,405.208333333,370.333333333,430.892857143
C1618050,380.282051282,363.405405405,387.275862069,405.625,413.8
C1618592,373.580645161,382.323529412,396.266666667,408.033333333,425.735294118
C1620200,378.769230769,393.46875,389.5625,405.346153846,411.870967742
C1626643,343.658536585,345.151515152,337.944444444,339.694444444,327.882352941
C1626757,328.512820513,324.425,341.236842105,369.25,356.583333333
C1634963,360.534883721,337.475,355.0,358.184210526,378.866666667
C1640091,370.358974359,394.151515152,394.6,400.035714286,400.730769231
C1642268,296.314285714,302.947368421,341.838709677,375.36,325.0
C1661087,375.390243902,383.775,382.324324324,381.8,371.642857143
