participant_id,5,10,15,20,25
1211910,348.4,385.75,390.514285714,399.321428571,403.272727273
1460169,317.694444444,339.675675676,347.861111111,342.594594595,343.073170732
1504906,341.2,327.315789474,349.475,350.487804878,326.45
1506576,300.375,300.0,325.804878049,343.405405405,318.2
1512159,340.735294118,342.256410256,335.725,380.368421053,368.769230769
1514405,350.769230769,370.228571429,397.696969697,382.323529412,364.75
1517805,316.871794872,330.303030303,329.974358974,308.384615385,353.34375
1524902,376.382352941,392.702702703,398.432432432,423.517241379,390.35483871
1529920,404.153846154,435.16,373.4,389.189189189,400.891891892
1535741,307.720930233,333.666666667,338.026315789,344.25,345.135135135
1556744,360.894736842,386.939393939,397.56,406.846153846,426.869565217
1606678,376.083333333,391.35,354.542857143,343.416666667,370.333333333
1621347,342.305555556,378.3125,391.257142857,389.944444444,378.192307692
1627781,302.1875,318.787878788,344.194444444,345.351351351,366.1875
1641638,322.658536585,336.536585366,318.375,333.219512195,352.272727273
1643644,289.714285714,333.692307692,345.352941176,334.394736842,335.210526316
C1228296,310.795454545,341.976190476,326.567567568,354.102564103,374.96
C1234417,297.710526316,299.651162791,313.342105263,307.435897436,339.925
C1320593,348.268292683,345.5,360.0,354.666666667,368.352941176
C1431852,317.945945946,329.625,306.564102564,302.463414634,321.648648649
C1504038,296.325,302.575,344.642857143,344.902439024,350.5
C1512051,373.0,432.08,401.964285714,403.5,420.310344828
C1525463,340.194444444,336.631578947,346.131578947,332.567567568,371.970588235
C1528257,350.5,366.19047619,336.219512195,318.243902439,321.84
C1556488,367.882352941,390.290322581,381.428571429,391.307692308,397.1875
C1600521,339.641025641,339.052631579,331.230769231,372.973684211,390.848484848
C1606273,405.805555556,400.740740741,447.444444444,445.842105263,439.5
C1607048,334.666666667,370.925,377.419354839,419.777777778,418.1
C1618050,368.631578947,371.085714286,387.193548387,402.387096774,392.827586207
C1618592,324.083333333,356.25,406.1,387.846153846,387.352941176
C1620200,331.692307692,359.722222222,373.34375,380.03030303,391.363636364
C1626643,318.974358974,327.533333333,338.388888889,324.275,334.588235294
C1626757,337.166666667,337.432432432,350.405405405,367.0,360.484848485
C1634963,324.842105263,368.972222222,349.060606061,371.263157895,370.076923077
C1640091,349.612903226,365.585365854,355.975,340.945945946,353.111111111
C1642268,302.627906977,307.055555556,310.054054054,320.0,313.346153846
C1661087,299.205128205,328.351351351,340.605263158,333.475,364.594594595
