participant_id,1,2,3,4,5,6,7,8,9,10
c1210910,333.6666666666667,329.57142857142856,327.1111111111111,356.625,347.1666666666667,353.625,305.0,311.0,322.57142857142856,313.85714285714283
c1214313,302.875,294.0,275.2857142857143,287.14285714285717,293.875,281.0,309.6666666666667,356.44444444444446,313.3636363636364,260.55555555555554
c1219715,437.57142857142856,417.5,445.6666666666667,465.5,441.5,418.1666666666667,433.55555555555554,424.25,476.25,437.3333333333333
c1316438,301.125,338.3333333333333,303.6666666666667,350.6666666666667,308.0,310.875,327.42857142857144,358.125,345.3333333333333,355.5
c1332603,494.0,nan,420.0,nan,448.0,411.8,430.6,463.0,458.0,431.0
c1332972,366.5,332.14285714285717,352.42857142857144,337.14285714285717,360.85714285714283,350.2857142857143,394.625,377.75,333.57142857142856,353.2
c1406813,323.3333333333333,330.14285714285717,351.77777777777777,346.77777777777777,352.2857142857143,349.25,341.6666666666667,331.8888888888889,318.57142857142856,355.90909090909093
c1414041,354.14285714285717,364.7142857142857,376.8,418.0,397.8333333333333,371.8333333333333,381.3333333333333,386.2857142857143,422.75,433.4
c1422310,453.0,486.0,465.6666666666667,439.0,481.0,453.75,470.0,462.4,471.0,479.5
c1428155,406.5,429.6,445.4,436.5,426.75,405.0,420.25,479.0,436.0,413.3333333333333
c1429501,451.375,433.6,449.8,448.5,452.25,435.3333333333333,454.8333333333333,451.8333333333333,455.75,431.4
c1436560,342.0,328.0,328.375,326.1,367.3333333333333,326.57142857142856,328.875,284.125,298.25,289.77777777777777
c1436601,354.57142857142856,336.0,338.0,370.125,361.3333333333333,355.0,374.0,369.7142857142857,406.3333333333333,393.6666666666667
c1442429,295.45454545454544,280.75,277.14285714285717,302.57142857142856,287.0,313.125,293.375,311.625,299.1666666666667,301.22222222222223
c1462216,311.3636363636364,315.14285714285717,347.1,289.77777777777777,283.85714285714283,275.0,312.0,305.8333333333333,318.8888888888889,298.0
c1476575,437.0,451.3333333333333,456.875,450.5,461.6,417.5,469.2,450.3333333333333,452.0,444.6
c1500258,474.2,423.0,436.8,429.1666666666667,453.8333333333333,428.3333333333333,465.1666666666667,429.75,464.0,416.0
c1510407,417.6666666666667,419.3333333333333,402.6666666666667,435.3333333333333,464.0,435.8333333333333,432.8,393.25,405.7142857142857,439.5
c1512071,310.9,322.22222222222223,317.14285714285717,339.125,360.8333333333333,348.2857142857143,353.6666666666667,358.3333333333333,348.85714285714283,348.44444444444446
c1514333,398.5,434.25,456.0,431.75,441.4,434.5,442.0,428.0,454.6666666666667,453.25
c1516685,462.25,428.7142857142857,454.85714285714283,448.25,469.5,483.0,461.6,459.0,474.25,469.25
c1520925,453.0,469.0,451.0,458.6,434.0,460.5,nan,442.5,410.0,476.0
c1528148,453.8,437.5,487.75,486.5,nan,432.25,470.6666666666667,451.5,444.3333333333333,454.5
c1530539,280.4,273.3333333333333,277.8,265.85714285714283,263.42857142857144,288.75,294.1111111111111,335.42857142857144,320.85714285714283,309.6666666666667
c1530965,317.125,307.85714285714283,322.55555555555554,338.0,302.0,336.0,351.25,342.1111111111111,363.0,355.44444444444446
c1574067,445.75,425.5,443.42857142857144,431.8,446.8333333333333,410.3333333333333,445.0,403.6666666666667,459.6,470.6666666666667
