participant_id,5,10,15,20,25
c1210910,2,1,2,1,1
c1214313,1,0,2,4,1
c1219715,18,16,10,4,15
c1316438,2,1,1,1,3
c1332603,37,23,29,31,36
c1332972,2,0,1,2,5
c1406813,1,1,2,3,5
c1414041,6,17,12,8,18
c1422310,22,25,32,30,26
c1428155,10,11,16,19,29
c1429501,10,13,26,22,24
c1436560,1,1,1,1,2
c1436601,8,7,8,13,12
c1442429,0,1,0,0,0
c1462216,0,1,0,1,0
c1476575,11,18,12,21,13
c1500258,16,20,23,22,15
c1510407,12,15,28,31,30
c1512071,0,1,2,2,4
c1514333,13,14,18,13,10
c1516685,16,22,26,28,33
c1520925,21,28,25,30,27
c1528148,18,24,29,9,33
c1530539,2,5,2,3,1
c1530965,0,1,3,2,0
c1574067,6,17,19,17,18
